champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Alistar,Zac,12,154,2.56,3.05,0.4238,0.5762,0.423,0.487,0.482,0.518,0.5015,0.5024,0.1226,0.0087,0.0699,0.0074
Veigar,Pantheon,45,80,2.22,2.0,0.4231,0.5769,0.458,0.44,0.5051,0.4949,0.5082,0.475,0.006,0.0303,0.0007,0.1074
Blitzcrank,Sett,53,875,2.61,2.01,0.5265,0.4735,0.431,0.439,0.5188,0.4812,0.5082,0.4539,0.1009,0.0402,0.1231,0.104
Veigar,Morgana,45,25,2.09,2.59,0.4577,0.5423,0.418,0.438,0.4552,0.5448,0.5082,0.493,0.006,0.0487,0.0007,0.4907
Bard,Pantheon,432,80,2.95,1.96,0.5156,0.4844,0.487,0.452,0.5183,0.4817,0.5076,0.475,0.031,0.0303,0.0016,0.1074
Gragas,Lux,79,99,2.08,2.59,0.4881,0.5119,0.381,0.467,0.4966,0.5034,0.5053,0.4834,0.0145,0.041,0.0033,0.0037
Alistar,Maokai,12,57,2.66,2.35,0.5106,0.4894,0.422,0.432,0.4973,0.5027,0.5015,0.5238,0.1226,0.0516,0.0699,0.0109
Poppy,Braum,78,201,2.39,2.91,0.5225,0.4775,0.42,0.415,0.5246,0.4754,0.4897,0.4892,0.0078,0.0151,0.0385,0.0007
Sona,Thresh,37,412,2.66,2.71,0.4534,0.5466,0.477,0.427,0.5014,0.4986,0.4996,0.5061,0.0077,0.2263,0.0003,0.2708
Senna,Karma,235,43,2.93,2.71,0.4705,0.5295,0.5,0.43,0.5419,0.4581,0.5275,0.4778,0.1282,0.0668,0.2869,0.007
Nami,Shen,267,98,3.05,2.7,0.414,0.586,0.355,0.439,0.4912,0.5088,0.4874,0.4798,0.0147,0.0091,0.001,0.1132
Swain,Rakan,50,497,2.56,2.69,0.5389,0.4611,0.494,0.405,0.539,0.461,0.4792,0.5,0.0193,0.028,0.0096,0.0017
Morgana,Lulu,25,117,2.46,3.03,0.5019,0.4981,0.425,0.385,0.4929,0.5071,0.493,0.5068,0.0487,0.1701,0.4907,0.1765
Shaco,Thresh,35,412,2.66,2.53,0.4771,0.5229,0.457,0.407,0.5154,0.4846,0.5025,0.5061,0.0249,0.2263,0.2796,0.2708
Nautilus,Bard,111,432,2.36,2.8,0.6152,0.3848,0.409,0.476,0.4977,0.5023,0.5034,0.5076,0.1122,0.031,0.0565,0.0016
Lux,Pyke,99,555,2.09,2.14,0.4115,0.5885,0.454,0.449,0.484,0.516,0.4834,0.4923,0.041,0.0666,0.0037,0.0406
Braum,Poppy,201,78,2.91,2.39,0.4775,0.5225,0.415,0.42,0.4754,0.5246,0.4892,0.4897,0.0151,0.0078,0.0007,0.0385
Alistar,Brand,12,63,2.49,1.96,0.5223,0.4777,0.416,0.466,0.5015,0.4985,0.5015,0.4843,0.1226,0.0165,0.0699,0.0016
Janna,Lux,40,99,2.54,2.56,0.4355,0.5645,0.388,0.449,0.4921,0.5079,0.5141,0.4834,0.0272,0.041,0.0017,0.0037
Sett,Shaco,875,35,1.88,2.93,0.5027,0.4973,0.391,0.478,0.4489,0.5511,0.4539,0.5025,0.0402,0.0249,0.104,0.2796
Anivia,Yuumi,34,350,2.49,3.9,0.5543,0.4457,0.457,0.422,0.5182,0.4818,0.5007,0.4703,0.0066,0.0658,0.0462,0.0199
Blitzcrank,Pantheon,53,80,2.55,1.94,0.5511,0.4489,0.433,0.465,0.5214,0.4786,0.5082,0.475,0.1009,0.0303,0.1231,0.1074
Bard,Rell,432,526,2.96,2.13,0.4367,0.5633,0.479,0.376,0.5152,0.4848,0.5076,0.4836,0.031,0.0364,0.0016,0.0666
Morgana,Karma,25,43,2.48,2.6,0.5318,0.4682,0.427,0.411,0.5059,0.4941,0.493,0.4778,0.0487,0.0668,0.4907,0.007
Xerath,Swain,101,50,2.64,1.89,0.5657,0.4343,0.471,0.43,0.5453,0.4547,0.4949,0.4792,0.0765,0.0193,0.0488,0.0096
Seraphine,Morgana,147,25,2.37,2.63,0.4364,0.5636,0.409,0.433,0.4733,0.5267,0.4769,0.493,0.0209,0.0487,0.0064,0.4907
Bard,Gragas,432,79,3.04,2.38,0.424,0.576,0.512,0.399,0.5207,0.4793,0.5076,0.5053,0.031,0.0145,0.0016,0.0033
Xerath,Poppy,101,78,2.46,2.24,0.5023,0.4977,0.457,0.423,0.4774,0.5226,0.4949,0.4897,0.0765,0.0078,0.0488,0.0385
Nautilus,Sett,111,875,2.44,2.17,0.4679,0.5321,0.444,0.466,0.5231,0.4769,0.5034,0.4539,0.1122,0.0402,0.0565,0.104
Soraka,Senna,16,235,2.95,2.89,0.5201,0.4799,0.302,0.484,0.4991,0.5009,0.4954,0.5275,0.0255,0.1282,0.0011,0.2869
Xerath,Lulu,101,117,2.49,2.89,0.5529,0.4471,0.434,0.355,0.5049,0.4951,0.4949,0.5068,0.0765,0.1701,0.0488,0.1765
Janna,Sona,40,37,2.8,2.86,0.5,0.5,0.388,0.458,0.4968,0.5032,0.5141,0.4996,0.0272,0.0077,0.0017,0.0003
Brand,Yuumi,63,350,1.78,4.58,0.3648,0.6352,0.432,0.466,0.4766,0.5234,0.4843,0.4703,0.0165,0.0658,0.0016,0.0199
Zyra,Shen,143,98,1.98,3.07,0.4239,0.5761,0.428,0.453,0.4737,0.5263,0.5229,0.4798,0.0265,0.0091,0.0031,0.1132
Maokai,Nami,57,267,2.2,2.85,0.5078,0.4922,0.403,0.428,0.52,0.48,0.5238,0.4874,0.0516,0.0147,0.0109,0.001
Senna,Blitzcrank,235,53,2.71,2.54,0.3989,0.6011,0.516,0.41,0.5078,0.4922,0.5275,0.5082,0.1282,0.1009,0.2869,0.1231
Janna,Maokai,40,57,2.88,2.19,0.4536,0.5464,0.432,0.401,0.485,0.515,0.5141,0.5238,0.0272,0.0516,0.0017,0.0109
Xerath,Taric,101,44,2.65,2.66,0.5379,0.4621,0.448,0.338,0.5256,0.4744,0.4949,0.4856,0.0765,0.0077,0.0488,0.0006
Taric,Brand,44,63,2.72,2.09,0.5,0.5,0.396,0.447,0.4885,0.5115,0.4856,0.4843,0.0077,0.0165,0.0006,0.0016
Shen,Brand,98,63,2.53,2.03,0.5342,0.4658,0.468,0.468,0.4079,0.5921,0.4798,0.4843,0.0091,0.0165,0.1132,0.0016
Leona,Bard,89,432,2.42,2.77,0.5972,0.4028,0.385,0.47,0.5125,0.4875,0.5252,0.5076,0.1396,0.031,0.3998,0.0016
Yuumi,Bard,350,432,4.14,3.0,0.6205,0.3795,0.45,0.455,0.4711,0.5289,0.4703,0.5076,0.0658,0.031,0.0199,0.0016
Blitzcrank,Galio,53,3,2.6,2.3,0.586,0.414,0.43,0.455,0.5092,0.4908,0.5082,0.4798,0.1009,0.0372,0.1231,0.0388
Shen,Nautilus,98,111,2.82,2.58,0.4697,0.5303,0.505,0.458,0.4927,0.5073,0.4798,0.5034,0.0091,0.1122,0.1132,0.0565
Nautilus,Pantheon,111,80,2.53,2.02,0.5424,0.4576,0.454,0.48,0.5304,0.4696,0.5034,0.475,0.1122,0.0303,0.0565,0.1074
Seraphine,Nami,147,267,2.4,3.02,0.4719,0.5281,0.416,0.407,0.4565,0.5435,0.4769,0.4874,0.0209,0.0147,0.0064,0.001
Lulu,Alistar,117,12,3.16,2.53,0.5215,0.4785,0.409,0.375,0.5122,0.4878,0.5068,0.5015,0.1701,0.1226,0.1765,0.0699
Nami,Pyke,267,555,2.8,2.13,0.417,0.583,0.445,0.453,0.5306,0.4694,0.4874,0.4923,0.0147,0.0666,0.001,0.0406
Veigar,Zyra,45,143,2.05,2.11,0.466,0.534,0.389,0.42,0.4784,0.5216,0.5082,0.5229,0.006,0.0265,0.0007,0.0031
Veigar,Neeko,45,518,2.19,1.97,0.4753,0.5247,0.467,0.426,0.5789,0.4211,0.5082,0.483,0.006,0.0063,0.0007,0.0021
Braum,Blitzcrank,201,53,2.76,2.5,0.4805,0.5195,0.392,0.413,0.5075,0.4925,0.4892,0.5082,0.0151,0.1009,0.0007,0.1231
Senna,Zac,235,154,2.78,2.84,0.3708,0.6292,0.528,0.476,0.5208,0.4792,0.5275,0.5024,0.1282,0.0087,0.2869,0.0074
Alistar,Senna,12,235,2.51,2.98,0.531,0.469,0.405,0.532,0.4653,0.5347,0.5015,0.5275,0.1226,0.1282,0.0699,0.2869
Soraka,Zac,16,154,2.78,2.87,0.3947,0.6053,0.328,0.444,0.5057,0.4943,0.4954,0.5024,0.0255,0.0087,0.0011,0.0074
Swain,Shaco,50,35,2.17,2.66,0.5208,0.4792,0.462,0.453,0.4663,0.5338,0.4792,0.5025,0.0193,0.0249,0.0096,0.2796
Xerath,Shaco,101,35,2.31,2.37,0.5204,0.4796,0.427,0.427,0.4765,0.5235,0.4949,0.5025,0.0765,0.0249,0.0488,0.2796
Sona,Zac,37,154,2.37,2.98,0.3868,0.6132,0.484,0.392,0.3898,0.6102,0.4996,0.5024,0.0077,0.0087,0.0003,0.0074
Karma,Zac,43,154,2.58,2.67,0.4467,0.5533,0.437,0.444,0.4783,0.5217,0.4778,0.5024,0.0668,0.0087,0.007,0.0074
Karma,Nautilus,43,111,2.48,2.52,0.4193,0.5807,0.433,0.415,0.4471,0.5529,0.4778,0.5034,0.0668,0.1122,0.007,0.0565
Maokai,Zac,57,154,2.26,2.88,0.4478,0.5523,0.439,0.473,0.4982,0.5018,0.5238,0.5024,0.0516,0.0087,0.0109,0.0074
Soraka,Galio,16,3,2.89,2.44,0.4714,0.5286,0.319,0.407,0.5042,0.4958,0.4954,0.4798,0.0255,0.0372,0.0011,0.0388
Shaco,Veigar,35,45,2.67,1.88,0.4987,0.5013,0.443,0.393,0.5665,0.4335,0.5025,0.5082,0.0249,0.006,0.2796,0.0007
Neeko,Rakan,518,497,2.08,2.8,0.5169,0.4831,0.424,0.431,0.4779,0.5221,0.483,0.5,0.0063,0.028,0.0021,0.0017
Nami,Poppy,267,78,3.75,2.14,0.5478,0.4522,0.493,0.446,0.6267,0.3733,0.4874,0.4897,0.0147,0.0078,0.001,0.0385
Gragas,Sett,79,875,2.6,2.0,0.5252,0.4748,0.457,0.437,0.5277,0.4723,0.5053,0.4539,0.0145,0.0402,0.0033,0.104
Janna,Zyra,40,143,2.65,2.13,0.4344,0.5656,0.373,0.423,0.5071,0.4929,0.5141,0.5229,0.0272,0.0265,0.0017,0.0031
Pyke,Thresh,555,412,2.19,2.41,0.5611,0.4389,0.467,0.435,0.4864,0.5136,0.4923,0.5061,0.0666,0.2263,0.0406,0.2708
Veigar,Vel'Koz,45,161,1.92,2.36,0.3813,0.6187,0.402,0.422,0.4528,0.5472,0.5082,0.4896,0.006,0.0151,0.0007,0.0012
Rell,Zilean,526,26,1.94,3.51,0.4933,0.5067,0.348,0.497,0.4499,0.5501,0.4836,0.5211,0.0364,0.0313,0.0666,0.0063
Pyke,Seraphine,555,147,2.49,2.09,0.6179,0.3821,0.467,0.41,0.5542,0.4458,0.4923,0.4769,0.0666,0.0209,0.0406,0.0064
Leona,Anivia,89,34,2.3,2.27,0.4804,0.5196,0.403,0.465,0.5052,0.4948,0.5252,0.5007,0.1396,0.0066,0.3998,0.0462
Pantheon,Thresh,80,412,1.95,2.75,0.4976,0.5024,0.466,0.453,0.4638,0.5362,0.475,0.5061,0.0303,0.2263,0.1074,0.2708
Pyke,Veigar,555,45,2.18,1.94,0.585,0.415,0.453,0.432,0.5336,0.4664,0.4923,0.5082,0.0666,0.006,0.0406,0.0007
Pyke,Senna,555,235,2.33,2.48,0.6216,0.3784,0.471,0.516,0.4804,0.5196,0.4923,0.5275,0.0666,0.1282,0.0406,0.2869
Sona,Shen,37,98,2.76,2.74,0.375,0.625,0.467,0.456,0.5316,0.4684,0.4996,0.4798,0.0077,0.0091,0.0003,0.1132
Rell,Seraphine,526,147,2.15,2.79,0.465,0.535,0.385,0.451,0.486,0.514,0.4836,0.4769,0.0364,0.0209,0.0666,0.0064
Neeko,Gragas,518,79,2.17,2.33,0.5059,0.4941,0.432,0.393,0.4912,0.5088,0.483,0.5053,0.0063,0.0145,0.0021,0.0033
Galio,Lulu,3,117,2.4,3.26,0.4606,0.5394,0.433,0.417,0.4693,0.5307,0.4798,0.5068,0.0372,0.1701,0.0388,0.1765
Blitzcrank,Yuumi,53,350,2.68,3.93,0.4869,0.5131,0.414,0.451,0.5359,0.4641,0.5082,0.4703,0.1009,0.0658,0.1231,0.0199
Alistar,Nautilus,12,111,2.65,2.44,0.4473,0.5527,0.431,0.43,0.5247,0.4753,0.5015,0.5034,0.1226,0.1122,0.0699,0.0565
Zyra,Taric,143,44,2.1,2.73,0.4647,0.5353,0.438,0.365,0.4651,0.5349,0.5229,0.4856,0.0265,0.0077,0.0031,0.0006
Thresh,Xerath,412,101,2.43,2.46,0.4972,0.5028,0.403,0.462,0.4923,0.5077,0.5061,0.4949,0.2263,0.0765,0.2708,0.0488
Poppy,Pyke,78,555,2.29,2.06,0.5191,0.4809,0.454,0.459,0.5177,0.4823,0.4897,0.4923,0.0078,0.0666,0.0385,0.0406
Braum,Zac,201,154,2.41,3.36,0.3188,0.6812,0.318,0.503,0.4235,0.5765,0.4892,0.5024,0.0151,0.0087,0.0007,0.0074
Seraphine,Karma,147,43,2.61,2.66,0.4605,0.5395,0.407,0.412,0.5088,0.4912,0.4769,0.4778,0.0209,0.0668,0.0064,0.007
Senna,Neeko,235,518,2.79,2.01,0.4508,0.5492,0.513,0.415,0.5349,0.4651,0.5275,0.483,0.1282,0.0063,0.2869,0.0021
Maokai,Rell,57,526,2.43,2.29,0.5088,0.4912,0.454,0.394,0.5317,0.4683,0.5238,0.4836,0.0516,0.0364,0.0109,0.0666
Rakan,Xerath,497,101,2.76,2.43,0.4986,0.5014,0.387,0.453,0.5018,0.4982,0.5,0.4949,0.028,0.0765,0.0017,0.0488
Swain,Seraphine,50,147,2.26,2.46,0.5401,0.4599,0.475,0.44,0.5154,0.4846,0.4792,0.4769,0.0193,0.0209,0.0096,0.0064
Taric,Rell,44,526,2.77,2.42,0.5146,0.4854,0.404,0.423,0.5063,0.4938,0.4856,0.4836,0.0077,0.0364,0.0006,0.0666
Maokai,Thresh,57,412,2.25,2.65,0.4785,0.5215,0.421,0.443,0.519,0.481,0.5238,0.5061,0.0516,0.2263,0.0109,0.2708
Swain,Veigar,50,45,2.27,2.2,0.5165,0.4835,0.471,0.459,0.5058,0.4942,0.4792,0.5082,0.0193,0.006,0.0096,0.0007
Vel'Koz,Pyke,161,555,1.88,2.2,0.3938,0.6062,0.426,0.444,0.4618,0.5382,0.4896,0.4923,0.0151,0.0666,0.0012,0.0406
Galio,Shen,3,98,2.43,2.86,0.4925,0.5075,0.476,0.47,0.4345,0.5655,0.4798,0.4798,0.0372,0.0091,0.0388,0.1132
Bard,Janna,432,40,2.82,2.81,0.4893,0.5107,0.454,0.417,0.5059,0.4941,0.5076,0.5141,0.031,0.0272,0.0016,0.0017
Shaco,Zyra,35,143,2.5,1.89,0.5132,0.4868,0.427,0.384,0.5183,0.4817,0.5025,0.5229,0.0249,0.0265,0.2796,0.0031
Janna,Pyke,40,555,2.58,2.2,0.4106,0.5894,0.441,0.442,0.5105,0.4895,0.5141,0.4923,0.0272,0.0666,0.0017,0.0406
Galio,Zyra,3,143,2.38,2.21,0.5222,0.4778,0.449,0.46,0.4855,0.5145,0.4798,0.5229,0.0372,0.0265,0.0388,0.0031
Poppy,Swain,78,50,2.34,2.46,0.4345,0.5655,0.448,0.54,0.5282,0.4718,0.4897,0.4792,0.0078,0.0193,0.0385,0.0096
Pantheon,Vel'Koz,80,161,1.86,2.26,0.4794,0.5206,0.411,0.451,0.4732,0.5268,0.475,0.4896,0.0303,0.0151,0.1074,0.0012
Galio,Soraka,3,16,2.44,2.89,0.5286,0.4714,0.407,0.319,0.4958,0.5042,0.4798,0.4954,0.0372,0.0255,0.0388,0.0011
Morgana,Sett,25,875,2.72,1.87,0.5296,0.4704,0.467,0.4,0.5512,0.4488,0.493,0.4539,0.0487,0.0402,0.4907,0.104
Braum,Lux,201,99,2.91,2.49,0.5122,0.4878,0.381,0.471,0.5219,0.4781,0.4892,0.4834,0.0151,0.041,0.0007,0.0037
Seraphine,Rakan,147,497,2.66,2.88,0.4741,0.5259,0.446,0.403,0.4829,0.5171,0.4769,0.5,0.0209,0.028,0.0064,0.0017
Sona,Senna,37,235,2.96,2.94,0.4713,0.5287,0.491,0.494,0.4916,0.5084,0.4996,0.5275,0.0077,0.1282,0.0003,0.2869
Pyke,Sett,555,875,2.48,1.77,0.598,0.402,0.477,0.411,0.5452,0.4548,0.4923,0.4539,0.0666,0.0402,0.0406,0.104
Yuumi,Zyra,350,143,4.02,2.14,0.5906,0.4094,0.451,0.428,0.4677,0.5323,0.4703,0.5229,0.0658,0.0265,0.0199,0.0031
Morgana,Galio,25,3,2.7,2.22,0.5879,0.4121,0.47,0.424,0.532,0.468,0.493,0.4798,0.0487,0.0372,0.4907,0.0388
Brand,Nautilus,63,111,1.89,2.36,0.42,0.58,0.466,0.413,0.4921,0.5079,0.4843,0.5034,0.0165,0.1122,0.0016,0.0565
Thresh,Braum,412,201,2.57,2.84,0.4637,0.5363,0.416,0.387,0.4776,0.5224,0.5061,0.4892,0.2263,0.0151,0.2708,0.0007
Janna,Sett,40,875,3.23,1.85,0.4677,0.5323,0.446,0.405,0.6025,0.3975,0.5141,0.4539,0.0272,0.0402,0.0017,0.104
Morgana,Xerath,25,101,2.14,2.5,0.4564,0.5436,0.401,0.449,0.4753,0.5247,0.493,0.4949,0.0487,0.0765,0.4907,0.0488
Anivia,Leona,34,89,2.27,2.3,0.5196,0.4804,0.465,0.403,0.4948,0.5052,0.5007,0.5252,0.0066,0.1396,0.0462,0.3998
Sona,Anivia,37,34,2.47,2.44,0.4,0.6,0.435,0.423,0.4727,0.5273,0.4996,0.5007,0.0077,0.0066,0.0003,0.0462
Zyra,Braum,143,201,2.23,2.69,0.5221,0.4779,0.45,0.411,0.5398,0.4602,0.5229,0.4892,0.0265,0.0151,0.0031,0.0007
Nautilus,Zilean,111,26,2.35,3.03,0.6079,0.3921,0.403,0.462,0.4936,0.5064,0.5034,0.5211,0.1122,0.0313,0.0565,0.0063
Pyke,Thresh,555,412,2.19,2.41,0.5611,0.4389,0.467,0.435,0.4864,0.5136,0.4923,0.5061,0.0666,0.2263,0.0406,0.2708
Neeko,Brand,518,63,1.78,1.92,0.4762,0.5238,0.383,0.44,0.4659,0.5341,0.483,0.4843,0.0063,0.0165,0.0021,0.0016
Brand,Neeko,63,518,1.92,1.78,0.5238,0.4762,0.44,0.383,0.5341,0.4659,0.4843,0.483,0.0165,0.0063,0.0016,0.0021
Blitzcrank,Rell,53,526,2.71,2.12,0.579,0.421,0.434,0.406,0.5215,0.4785,0.5082,0.4836,0.1009,0.0364,0.1231,0.0666
Karma,Seraphine,43,147,2.66,2.61,0.5395,0.4605,0.412,0.407,0.4912,0.5088,0.4778,0.4769,0.0668,0.0209,0.007,0.0064
Morgana,Yuumi,25,350,2.42,4.15,0.4096,0.5904,0.431,0.448,0.4976,0.5024,0.493,0.4703,0.0487,0.0658,0.4907,0.0199
Gragas,Seraphine,79,147,2.4,2.62,0.5714,0.4286,0.393,0.426,0.4809,0.5191,0.5053,0.4769,0.0145,0.0209,0.0033,0.0064
Veigar,Galio,45,3,2.4,2.37,0.5025,0.4975,0.454,0.422,0.5252,0.4748,0.5082,0.4798,0.006,0.0372,0.0007,0.0388
Brand,Galio,63,3,1.97,2.36,0.4794,0.5206,0.461,0.435,0.5125,0.4875,0.4843,0.4798,0.0165,0.0372,0.0016,0.0388
Blitzcrank,Zac,53,154,2.4,2.87,0.4589,0.5411,0.411,0.493,0.4657,0.5343,0.5082,0.5024,0.1009,0.0087,0.1231,0.0074
Anivia,Bard,34,432,2.39,2.43,0.6024,0.3976,0.428,0.464,0.5364,0.4636,0.5007,0.5076,0.0066,0.031,0.0462,0.0016
Braum,Senna,201,235,2.97,2.95,0.5645,0.4355,0.388,0.52,0.4771,0.5229,0.4892,0.5275,0.0151,0.1282,0.0007,0.2869
Leona,Morgana,89,25,2.25,2.62,0.4537,0.5463,0.372,0.465,0.5075,0.4925,0.5252,0.493,0.1396,0.0487,0.3998,0.4907
Sett,Janna,875,40,1.85,3.23,0.5323,0.4677,0.405,0.446,0.3975,0.6025,0.4539,0.5141,0.0402,0.0272,0.104,0.0017
Neeko,Xerath,518,101,1.55,2.67,0.4066,0.5934,0.352,0.461,0.4247,0.5753,0.483,0.4949,0.0063,0.0765,0.0021,0.0488
Thresh,Neeko,412,518,2.56,1.94,0.5076,0.4924,0.435,0.432,0.5049,0.4951,0.5061,0.483,0.2263,0.0063,0.2708,0.0021
Pyke,Morgana,555,25,2.02,2.38,0.5299,0.4701,0.441,0.454,0.4759,0.5241,0.4923,0.493,0.0666,0.0487,0.0406,0.4907
Rakan,Vel'Koz,497,161,2.82,2.24,0.4614,0.5386,0.395,0.439,0.515,0.485,0.5,0.4896,0.028,0.0151,0.0017,0.0012
Lulu,Blitzcrank,117,53,2.89,2.57,0.4339,0.5661,0.393,0.394,0.4943,0.5057,0.5068,0.5082,0.1701,0.1009,0.1765,0.1231
Neeko,Maokai,518,57,2.09,2.08,0.582,0.418,0.427,0.418,0.493,0.507,0.483,0.5238,0.0063,0.0516,0.0021,0.0109
Nami,Zilean,267,26,2.83,3.22,0.4745,0.5255,0.408,0.422,0.4725,0.5275,0.4874,0.5211,0.0147,0.0313,0.001,0.0063
Senna,Sona,235,37,2.94,2.96,0.5287,0.4713,0.494,0.491,0.5084,0.4916,0.5275,0.4996,0.1282,0.0077,0.2869,0.0003
Maokai,Vel'Koz,57,161,2.12,2.17,0.4554,0.5446,0.388,0.438,0.5577,0.4423,0.5238,0.4896,0.0516,0.0151,0.0109,0.0012
Neeko,Bard,518,432,1.95,2.67,0.5764,0.4236,0.427,0.441,0.4754,0.5246,0.483,0.5076,0.0063,0.031,0.0021,0.0016
Yuumi,Zac,350,154,3.52,3.24,0.4253,0.5747,0.446,0.48,0.4442,0.5558,0.4703,0.5024,0.0658,0.0087,0.0199,0.0074
Gragas,Thresh,79,412,2.33,2.65,0.4892,0.5108,0.413,0.427,0.4969,0.5031,0.5053,0.5061,0.0145,0.2263,0.0033,0.2708
Shen,Soraka,98,16,3.01,2.71,0.5391,0.4609,0.469,0.319,0.524,0.476,0.4798,0.4954,0.0091,0.0255,0.1132,0.0011
Sett,Braum,875,201,2.01,3.17,0.4787,0.5213,0.426,0.441,0.4467,0.5533,0.4539,0.4892,0.0402,0.0151,0.104,0.0007
Pantheon,Zac,80,154,1.92,3.06,0.4255,0.5745,0.476,0.501,0.4526,0.5474,0.475,0.5024,0.0303,0.0087,0.1074,0.0074
Neeko,Thresh,518,412,1.94,2.56,0.4924,0.5076,0.432,0.435,0.4951,0.5049,0.483,0.5061,0.0063,0.2263,0.0021,0.2708
Vel'Koz,Soraka,161,16,2.13,2.74,0.5272,0.4728,0.409,0.276,0.4565,0.5435,0.4896,0.4954,0.0151,0.0255,0.0012,0.0011
Nautilus,Braum,111,201,2.47,2.8,0.5345,0.4655,0.423,0.409,0.5136,0.4864,0.5034,0.4892,0.1122,0.0151,0.0565,0.0007
Janna,Taric,40,44,2.86,2.59,0.4214,0.5786,0.423,0.324,0.4906,0.5094,0.5141,0.4856,0.0272,0.0077,0.0017,0.0006
Rakan,Leona,497,89,2.82,2.65,0.4134,0.5866,0.404,0.404,0.483,0.517,0.5,0.5252,0.028,0.1396,0.0017,0.3998
Blitzcrank,Nautilus,53,111,2.47,2.27,0.5131,0.4869,0.43,0.424,0.5034,0.4966,0.5082,0.5034,0.1009,0.1122,0.1231,0.0565
Swain,Gragas,50,79,2.53,2.09,0.5462,0.4538,0.499,0.425,0.534,0.466,0.4792,0.5053,0.0193,0.0145,0.0096,0.0033
Thresh,Morgana,412,25,2.44,2.55,0.47,0.53,0.407,0.453,0.4874,0.5126,0.5061,0.493,0.2263,0.0487,0.2708,0.4907
Gragas,Pyke,79,555,2.09,2.43,0.4432,0.5568,0.407,0.468,0.469,0.531,0.5053,0.4923,0.0145,0.0666,0.0033,0.0406
Karma,Pyke,43,555,2.27,2.29,0.4173,0.5827,0.424,0.457,0.4662,0.5338,0.4778,0.4923,0.0668,0.0666,0.007,0.0406
Morgana,Poppy,25,78,2.64,2.13,0.475,0.525,0.478,0.403,0.5183,0.4817,0.493,0.4897,0.0487,0.0078,0.4907,0.0385
Lulu,Xerath,117,101,2.89,2.49,0.4471,0.5529,0.355,0.434,0.4951,0.5049,0.5068,0.4949,0.1701,0.0765,0.1765,0.0488
Sona,Vel'Koz,37,161,2.99,2.35,0.3727,0.6273,0.45,0.419,0.5684,0.4316,0.4996,0.4896,0.0077,0.0151,0.0003,0.0012
Lulu,Veigar,117,45,3.19,2.05,0.5385,0.4615,0.388,0.415,0.5208,0.4792,0.5068,0.5082,0.1701,0.006,0.1765,0.0007
Maokai,Swain,57,50,2.24,2.32,0.4648,0.5352,0.42,0.499,0.5291,0.4709,0.5238,0.4792,0.0516,0.0193,0.0109,0.0096
Xerath,Sett,101,875,2.56,1.91,0.4971,0.5029,0.463,0.399,0.5362,0.4638,0.4949,0.4539,0.0765,0.0402,0.0488,0.104
Zilean,Rakan,26,497,3.4,2.69,0.4225,0.5775,0.424,0.381,0.5752,0.4248,0.5211,0.5,0.0313,0.028,0.0063,0.0017
Alistar,Zyra,12,143,2.51,2.17,0.5249,0.4751,0.41,0.451,0.4761,0.5239,0.5015,0.5229,0.1226,0.0265,0.0699,0.0031
Pantheon,Neeko,80,518,2.2,1.85,0.5695,0.4305,0.458,0.414,0.5292,0.4708,0.475,0.483,0.0303,0.0063,0.1074,0.0021
Nami,Blitzcrank,267,53,2.72,2.59,0.4025,0.5975,0.417,0.406,0.4566,0.5434,0.4874,0.5082,0.0147,0.1009,0.001,0.1231
Seraphine,Thresh,147,412,2.48,2.65,0.4608,0.5392,0.432,0.409,0.4743,0.5257,0.4769,0.5061,0.0209,0.2263,0.0064,0.2708
Xerath,Yuumi,101,350,2.35,4.4,0.414,0.586,0.442,0.455,0.4868,0.5132,0.4949,0.4703,0.0765,0.0658,0.0488,0.0199
Nami,Lulu,267,117,3.04,3.02,0.4803,0.5197,0.402,0.371,0.5027,0.4973,0.4874,0.5068,0.0147,0.1701,0.001,0.1765
Neeko,Sona,518,37,2.2,2.76,0.5642,0.4358,0.412,0.468,0.5158,0.4842,0.483,0.4996,0.0063,0.0077,0.0021,0.0003
Yuumi,Karma,350,43,4.69,2.48,0.6419,0.3581,0.463,0.4,0.5283,0.4717,0.4703,0.4778,0.0658,0.0668,0.0199,0.007
Zac,Alistar,154,12,3.05,2.56,0.5762,0.4238,0.487,0.423,0.518,0.482,0.5024,0.5015,0.0087,0.1226,0.0074,0.0699
Anivia,Sona,34,37,2.44,2.47,0.6,0.4,0.423,0.435,0.5273,0.4727,0.5007,0.4996,0.0066,0.0077,0.0462,0.0003
Rell,Swain,526,50,2.1,2.65,0.4647,0.5353,0.406,0.524,0.4509,0.5491,0.4836,0.4792,0.0364,0.0193,0.0666,0.0096
Sona,Veigar,37,45,2.64,2.25,0.535,0.465,0.457,0.419,0.4409,0.5591,0.4996,0.5082,0.0077,0.006,0.0003,0.0007
Zyra,Vel'Koz,143,161,1.84,2.21,0.4101,0.5899,0.39,0.414,0.5058,0.4942,0.5229,0.4896,0.0265,0.0151,0.0031,0.0012
Rakan,Shaco,497,35,2.74,2.82,0.5017,0.4983,0.385,0.458,0.4938,0.5062,0.5,0.5025,0.028,0.0249,0.0017,0.2796
